model,seed,window_size,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,thresh,fold
ResNet,0,7,1.8404638964865243,-6.485294117647059,0.5689655172413793,0.9705882352941176,0.9999938722426317,0.717391304347826,0.9852910537683747,2.20586397074142,0.0882345588296568,3.777613107645848,0.5,2
Ensemble-All,,7,0.010901962400021148,-0.3000000000000001,0.8648648648648649,0.9411764705882353,0.9999987744485264,0.9014084507042254,0.9705876225183808,0.44117279414828403,0.1764691176593136,3.7776365921594337,,2
Ensemble-ts,,7,0.011889912333269118,1.1117647058823528,0.8571428571428571,0.8823529411764706,0.9999987744485264,0.8695652173913043,0.9411758578124985,0.44117279414828403,0.3529382353186272,3.777628246769194,,2
DummyADL,0,7,0.05403932820507023,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,0.9999291124105847,0.5,3
DummyFall,0,7,0.0004481348910760668,0.0,5.8332847226273116e-05,1.0,0.0,0.00011665888940737284,0.5,51425.57145357122,0.0,-0.0818604761135666,0.5,3
ExtraTrees,0,7,0.15799249454406308,3.6666666666666665,0.5833333333333334,0.7777777777777778,0.9999953701388773,0.6666666666666666,0.8888865739583276,1.6666527778935176,0.666661111157407,0.9999514069742496,0.5,3
MiniRocket,0,7,1.2856630192522873,1.3333333333333333,0.5333333333333333,0.8888888888888888,0.9999935181944283,0.6666666666666666,0.9444412035416585,2.3333138890509244,0.3333305555787035,0.999952813948499,0.5,3
Catch22,0,7,13.142972714237096,3.3333333333333335,0.4375,0.7777777777777778,0.9999916662499791,0.56,0.8888847220138785,2.9999750002083316,0.666661111157407,0.9999458755325082,0.5,3
QUANT,0,7,4.119846662105453,1.3333333333333333,0.8,0.8888888888888888,0.9999981480555509,0.8421052631578947,0.9444435184722199,0.666661111157407,0.3333305555787035,0.9999597282506757,0.5,3
ResNet,0,7,1.9140229728601819,-2.4444444444444446,0.3181818181818182,0.7777777777777778,0.999986110416632,0.45161290322580644,0.8888819440972049,4.999958333680553,0.666661111157407,0.9999375783698963,0.5,3
Ensemble-All,,7,0.006587989000036032,1.3333333333333333,0.5714285714285714,0.8888888888888888,0.9999944441666527,0.6956521739130435,0.9444416665277708,1.999983333472221,0.3333305555787035,0.9999541968089344,,3
Ensemble-ts,,7,0.00953984033336989,1.3333333333333333,0.5333333333333333,0.8888888888888888,0.9999935181944283,0.6666666666666666,0.9444412035416585,2.3333138890509244,0.3333305555787035,0.999952813948499,,3
DummyADL,0,7,0.05139811387463156,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,1.6665485206843076,0.5,4
DummyFall,0,7,0.0004569651352352011,0.0,5.8332847226273116e-05,1.0,0.0,0.00011665888940737284,0.5,51425.571453571225,0.0,-0.13643412685594433,0.5,4
ExtraTrees,0,7,0.15995448649378116,6.0,0.5882352941176471,0.6666666666666666,0.999996110916657,0.625,0.8333313887916618,1.399988333430555,0.9999916667361106,1.6665805676124625,0.5,4
MiniRocket,0,7,1.3225153809821224,1.0046666666666666,0.6842105263157895,0.8666666666666667,0.9999966664999916,0.7647058823529411,0.9333316665833291,1.1999900000833328,0.3999966666944442,1.6665944685582585,0.5,4
Catch22,0,7,12.791990332809643,2.4046666666666665,0.75,0.8,0.9999977776666611,0.7741935483870968,0.8999988888333306,0.7999933333888885,0.5999950000416664,1.6665930615840088,0.5,4
QUANT,0,7,4.095314389480104,1.538,0.8125,0.8666666666666667,0.9999983332499959,0.8387096774193549,0.9333324999583312,0.5999950000416664,0.3999966666944442,1.6665986171395648,0.5,4
ResNet,0,7,1.8566892130130008,-0.862,0.6,0.8,0.9999955553333222,0.6857142857142857,0.8999977776666611,1.599986666777777,0.5999950000416664,1.6665875301422675,0.5,4
Ensemble-All,,7,0.008900432799964619,1.338,0.7222222222222222,0.8666666666666667,0.9999972220833264,0.7878787878787878,0.9333319443749966,0.9999916667361106,0.3999966666944442,1.6665958514186938,,4
