model,seed,window_size,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,fold,thresh
ExtraTrees,0.0,7,0.1481736114022842,4.243243243243243,0.78125,0.6756756756756757,0.9999984148482522,0.7246376811594203,0.8378370452619639,0.5706211618933754,0.9782077061029292,0.000999993168808,5,
Catch22,0.0,7,11.308885157780445,-0.7956756756756757,0.4583333333333333,0.8918918918918919,0.9999911684402628,0.6055045871559633,0.9459415301660774,3.17917504483452,0.326069235367643,0.0009999880359787,5,
QUANT,0.0,7,4.337823854824787,0.9494594594594596,0.775,0.8378378378378378,0.9999979619477528,0.8051948051948052,0.9189178998927954,0.7336557795771969,0.4891038530514646,0.0009999951313604,5,
ExtraTrees,0.0,10,0.4405967524622546,-1.0,0.9166666666666666,1.0,0.99999924236742,0.9565217391304348,0.99999962118371,0.2727250000189392,0.0,0.0009999991161026,1,
Catch22,0.0,10,19.02913984855536,-0.0909090909090909,0.5714285714285714,0.9090909090909092,0.9999943177556498,0.7017543859649122,0.9545426134232796,2.0454375001420444,0.2727250000189392,0.0009999919817886,1,
QUANT,0.0,10,5.293346495168108,1.1363636363636365,0.7777777777777778,0.9545454545454546,0.99999772710226,0.8571428571428571,0.9772715908238572,0.8181750000568178,0.1363625000094696,0.0009999966538173,1,
ExtraTrees,0.0,10,0.165805591968464,3.706176470588235,0.8666666666666667,0.7647058823529411,0.9999990195343084,0.8125,0.8823524509436247,0.3529382353186272,0.7058764706372544,0.0009999952611219,2,
Catch22,0.0,10,15.434689668782726,1.838235294117647,0.6976744186046512,0.8823529411764706,0.9999968134865016,0.7792207792207793,0.941174877331486,1.1470492647855384,0.3529382353186272,0.0009999944849264,2,
QUANT,0.0,10,5.100766443644474,0.9744117647058822,0.8108108108108109,0.8823529411764706,0.9999982841850392,0.8450704225352113,0.9411756126807548,0.6176419118075976,0.3529382353186272,0.0009999962007271,2,
ExtraTrees,0.0,10,0.1719553181206942,3.6666666666666665,0.7,0.7777777777777778,0.9999972220138732,0.7368421052631579,0.8888874998958256,0.9999916667361104,0.666661111157407,0.0009999933637551,3,
Catch22,0.0,10,14.499910373756462,5.222222222222222,0.3529411764705882,0.6666666666666666,0.9999898140508686,0.4615384615384615,0.8333282403587676,3.666636111365739,0.9999916667361104,0.0009999830235595,3,
QUANT,0.0,10,5.574474416537838,1.3333333333333333,0.8,0.8888888888888888,0.9999981480092488,0.8421052631578947,0.9444435184490688,0.666661111157407,0.3333305555787035,0.000999996141718,3,
ExtraTrees,0.0,10,0.1667402200715303,6.0,0.6666666666666666,0.6666666666666666,0.9999972220138732,0.6666666666666666,0.83333194434027,0.9999916667361106,0.9999916667361106,0.000999991666111,4,
Catch22,0.0,10,13.292825710471371,0.2046666666666667,0.7368421052631579,0.9333333333333332,0.9999972220138732,0.8235294117647058,0.9666652776736032,0.9999916667361106,0.1999983333472221,0.0009999957404567,4,
QUANT,0.0,10,4.744291506209291,1.4713333333333334,0.8666666666666667,0.8666666666666667,0.9999988888055492,0.8666666666666667,0.933332777736108,0.3999966666944442,0.3999966666944442,0.0009999966664444,4,
ExtraTrees,0.0,10,0.1653279726390858,3.891891891891892,0.7352941176470589,0.6756756756756757,0.9999979618965232,0.704225352112676,0.8378368187860994,0.7336557795771969,0.9782077061029292,0.0009999926402435,5,
Catch22,0.0,10,17.46199259085637,0.7448648648648649,0.4492753623188406,0.8378378378378378,0.9999913946742092,0.5849056603773585,0.9189146162560236,3.097657735992609,0.4891038530514646,0.0009999874695428,5,
QUANT,0.0,10,5.249609485567494,0.9494594594594596,0.7209302325581395,0.8378378378378378,0.9999972825286976,0.775,0.9189175601832678,0.9782077061029292,0.4891038530514646,0.0009999943386488,5,
ExtraTrees,0.0,15,0.6070254415198506,-0.0454545454545454,0.875,0.9545454545454546,0.9999988635037724,0.9130434782608696,0.9772721590246136,0.4090875000284089,0.1363625000094696,0.0009999979795791,1,
Catch22,0.0,15,24.793039689461217,-3.272727272727273,0.5,0.9090909090909092,0.9999924233584828,0.6451612903225806,0.954541666224696,2.7272500001893927,0.2727250000189392,0.0009999897716191,1,
QUANT,0.0,15,6.588388307394812,1.1363636363636365,0.7241379310344828,0.9545454545454546,0.9999969693433932,0.8235294117647058,0.9772712119444238,1.090900000075757,0.1363625000094696,0.0009999957697437,1,
ExtraTrees,0.0,15,0.1974108667911034,3.676764705882353,0.896551724137931,0.7647058823529411,0.999999264620088,0.8253968253968254,0.8823525734865145,0.2647036764889704,0.7058764706372544,0.0009999955469032,2,
Catch22,0.0,15,22.018424496531377,-0.4791176470588235,0.6744186046511628,0.8529411764705882,0.9999965682270776,0.7532467532467533,0.9264688723488328,1.2352838236151953,0.441172794148284,0.0009999937493228,2,
QUANT,0.0,15,6.460129089487561,1.4941176470588236,0.8285714285714286,0.8529411764705882,0.999998529240176,0.8405797101449275,0.926469852855382,0.5294073529779408,0.441172794148284,0.0009999960371523,2,
ExtraTrees,0.0,15,0.2050846281569344,6.0,0.5,0.6666666666666666,0.9999944437962208,0.5714285714285714,0.8333305552314436,1.999983333472221,0.9999916667361104,0.0009999884246719,3,
Catch22,0.0,15,32.450728289733284,-8.88888888888889,0.5833333333333334,0.7777777777777778,0.999995369830184,0.6666666666666666,0.8888865738039808,1.6666527778935176,0.666661111157407,0.0009999912027506,3,
QUANT,0.0,15,6.095007154938025,1.3333333333333333,0.8,0.8888888888888888,0.9999981479320736,0.8421052631578947,0.9444435184104812,0.666661111157407,0.3333305555787035,0.0009999961415573,3,
ExtraTrees,0.0,15,0.2005329905026669,4.6,0.6470588235294118,0.7333333333333333,0.9999966662777324,0.6875,0.8666649998055329,1.1999900000833328,0.7999933333888885,0.0009999920361742,4,
Catch22,0.0,15,25.291998222809408,-3.862,0.625,1.0,0.9999949994165986,0.7692307692307693,0.9999974997082992,1.799985000124999,0.0,0.0009999941660346,4,
QUANT,0.0,15,6.397084730231617,1.338,0.8125,0.8666666666666667,0.9999983331388662,0.8387096774193549,0.9333324999027665,0.5999950000416664,0.3999966666944442,0.0009999960180871,4,
ExtraTrees,0.0,15,0.2008998098083762,2.45945945945946,0.75,0.7297297297297297,0.9999979618111348,0.7397260273972602,0.8648638457704322,0.7336557795771969,0.8151730884191076,0.0009999934703014,5,
Catch22,0.0,15,21.45074908652399,2.1772972972972973,0.3614457831325301,0.8108108108108109,0.9999879973322372,0.5,0.905399404071524,4.32041736862127,0.5706211618933754,0.0009999830907229,5,
QUANT,0.0,15,6.507577347800694,0.3278378378378379,0.7209302325581395,0.8378378378378378,0.9999972824148462,0.775,0.918917560126342,0.9782077061029292,0.4891038530514646,0.0009999943384117,5,
ExtraTrees,0.0,30,1.1388119347604866,-1.0,0.88,1.0,0.999998863361676,0.9361702127659576,0.999999431680838,0.4090875000284089,0.0,0.000999998673933,1,
Catch22,0.0,30,48.30551866539829,-17.181818181818183,0.4,0.9090909090909092,0.9999886336167604,0.5555555555555556,0.9545397713538348,4.090875000284089,0.2727250000189392,0.000999985350117,1,
QUANT,0.0,30,9.404867089952807,0.6818181818181818,0.8333333333333334,0.9090909090909092,0.9999984844822348,0.8695652173913043,0.9545446967865718,0.5454500000378785,0.2727250000189392,0.0009999968426976,1,
ExtraTrees,0.0,30,0.3073020996283975,3.5885294117647057,0.9,0.7941176470588235,0.9999992645281434,0.84375,0.8970584557934834,0.2647036764889704,0.6176419118075976,0.0009999959957977,2,
Catch22,0.0,30,42.93172188041518,-3.0738235294117646,0.631578947368421,0.7058823529411765,0.9999965677980022,0.6666666666666666,0.8529394603695893,1.2352838236151953,0.8823455882965681,0.0009999915012849,2,
QUANT,0.0,30,8.3271745660811,-3.779411764705882,0.8461538461538461,0.9705882352941176,0.9999985290562866,0.9041095890410958,0.985293382175202,0.5294073529779408,0.0882345588296568,0.000999997834462,2,
ExtraTrees,0.0,30,0.3133913256224845,3.6666666666666665,0.5833333333333334,0.7777777777777778,0.9999953692512727,0.6666666666666666,0.8888865735145253,1.6666527778935176,0.666661111157407,0.0009999912016507,3,
Catch22,0.0,30,62.275516143106046,-12.0,0.3157894736842105,0.6666666666666666,0.9999879600533093,0.4285714285714285,0.8333273133599879,4.333297222523146,0.9999916667361104,0.0009999808597314,3,
QUANT,0.0,30,8.716350566189286,-5.888888888888889,0.7272727272727273,0.8888888888888888,0.9999972215507636,0.8,0.9444430552198262,0.9999916667361104,0.3333305555787035,0.0009999950605758,3,
ExtraTrees,0.0,30,0.3135549058955325,6.266666666666667,0.75,0.8,0.9999977772406108,0.7741935483870968,0.8999988886203054,0.7999933333888885,0.5999950000416664,0.0009999943505336,4,
Catch22,0.0,30,50.09717638733524,-15.4,0.6666666666666666,0.9333333333333332,0.9999961101710692,0.7777777777777778,0.9666647217522012,1.399988333430555,0.1999983333472221,0.0009999944431478,4,
QUANT,0.0,30,8.66728103185064,1.2713333333333334,0.8666666666666667,0.8666666666666667,0.9999988886203056,0.8666666666666667,0.933332777643486,0.3999966666944442,0.3999966666944442,0.0009999966658887,4,
ExtraTrees,0.0,30,0.3060174956869638,4.0,0.7222222222222222,0.7027027027027027,0.9999977350610288,0.7123287671232876,0.8513502188818658,0.8151730884191076,0.8966903972610184,0.0009999927900046,5,
Catch22,0.0,30,51.90749256445035,-14.89864864864865,0.3580246913580246,0.7837837837837838,0.9999882223173496,0.4915254237288136,0.8918860030505666,4.23890005977936,0.6521384707352861,0.0009999829376027,5,
QUANT,0.0,30,8.436709574338982,-0.3581081081081081,0.6170212765957447,0.7837837837837838,0.999995923109852,0.6904761904761905,0.8918898534468178,1.4673115591543937,0.6521384707352861,0.0009999919217853,5,
ExtraTrees,0.0,60,2.0492450673066105,-1.0454545454545454,0.9166666666666666,1.0,0.9999992420515844,0.9565217391304348,0.9999996210257922,0.2727250000189392,0.0,0.0009999991157342,1,
Catch22,0.0,60,120.01868290553315,-43.27272727272727,0.4523809523809524,0.8636363636363636,0.9999912835932212,0.59375,0.9318138236147924,3.1363375002178016,0.4090875000284089,0.0009999877466027,1,
QUANT,0.0,60,11.97661638814929,0.5909090909090909,0.8333333333333334,0.9090909090909092,0.9999984841031688,0.8695652173913043,0.954544696597039,0.5454500000378785,0.2727250000189392,0.0009999968419079,1,
ExtraTrees,0.0,60,0.4966093734407444,2.853235294117647,0.8928571428571429,0.7352941176470589,0.999999264344185,0.8064516129032258,0.867646690995622,0.2647036764889704,0.7941110294669113,0.0009999950956687,2,
Catch22,0.0,60,114.0375577072144,-38.13264705882353,0.6590909090909091,0.8529411764705882,0.9999963217209246,0.7435897435897436,0.9264687490957564,1.323518382444852,0.441172794148284,0.0009999934608917,2,
QUANT,0.0,60,10.890063877660362,-1.0647058823529412,0.8484848484848485,0.8235294117647058,0.9999987739069748,0.835820895522388,0.9117640928358404,0.441172794148284,0.5294073529779408,0.0009999958721878,2,
ExtraTrees,0.0,60,0.493749283328907,-12.333333333333334,0.6666666666666666,0.8888888888888888,0.9999962944744129,0.7619047619047619,0.9444425916816508,1.333322222314814,0.3333305555787035,0.0009999939785711,3,
Catch22,0.0,60,136.32846668311885,-76.66666666666667,0.5833333333333334,0.7777777777777778,0.999995368093016,0.6666666666666666,0.888886572935397,1.6666527778935176,0.666661111157407,0.0009999911994501,3,
QUANT,0.0,60,10.32701933120657,-3.6666666666666665,0.5833333333333334,0.7777777777777778,0.999995368093016,0.6666666666666666,0.888886572935397,1.6666527778935176,0.666661111157407,0.0009999911994501,3,
ExtraTrees,0.0,60,0.4906945928157168,2.333333333333333,0.6666666666666666,0.8,0.9999966650269716,0.7272727272727273,0.8999983325134858,1.1999900000833328,0.5999950000416664,0.0009999930521974,4,
Catch22,0.0,60,121.0699664137541,-22.4,0.5714285714285714,0.8,0.9999949975404574,0.6666666666666666,0.8999974987702287,1.799985000124999,0.5999950000416664,0.0009999911068127,4,
QUANT,0.0,60,11.145652767838396,-0.0619999999999999,0.9230769230769232,0.8,0.999999444171162,0.8571428571428571,0.899999722085581,0.1999983333472221,0.5999950000416664,0.0009999962945053,4,
ExtraTrees,0.0,60,0.489664745310871,-5.263783783783784,0.8378378378378378,0.8378378378378378,0.9999986406948768,0.8378378378378378,0.9189182392663572,0.4891038530514646,0.4891038530514646,0.0009999959221188,5,
Catch22,0.0,60,123.77411202542822,-29.194324324324327,0.417910447761194,0.7567567567567568,0.9999911645166992,0.5384615384615384,0.878373960636728,3.17917504483452,0.7336557795771969,0.0009999859539647,5,
QUANT,0.0,60,10.9549145657862,1.4272972972972973,0.7,0.7567567567567568,0.9999972813897536,0.7272727272727273,0.8783770190732552,0.9782077061029292,0.7336557795771969,0.0009999930902568,5,
MiniRocket,0.0,3,1.2608680448563307,2.409090909090909,0.8260869565217391,0.8636363636363636,0.999998484823232,0.8444444444444444,0.931817424229798,0.5454500000378785,0.4090875000284089,2.444426394918431,1,0.5
ResNet,0.0,3,3.2557206243633474,6.2727272727272725,0.7368421052631579,0.6363636363636364,0.9999981060290398,0.6829268292682927,0.8181808711963381,0.6818125000473482,1.090900000075757,2.444404148578041,1,0.5
MiniRocket,0.0,3,1.1860592026595291,1.3826470588235291,0.8823529411764706,0.8823529411764706,0.999999019591503,0.8823529411764706,0.9411759803839868,0.3529382353186272,0.3529382353186272,3.777755555555556,2,0.5
ResNet,0.0,3,1.7349902659885543,8.69970588235294,0.9473684210526316,0.5294117647058824,0.9999997548978756,0.6792452830188679,0.764705759801879,0.0882345588296568,1.411752941274509,3.777709631779097,2,0.5
MiniRocket,0.0,3,1.1942845621081095,1.3333333333333333,0.7272727272727273,0.8888888888888888,0.9999972221759252,0.8,0.944443055532407,0.9999916667361104,0.3333305555787035,0.99999167872575,3,0.5
