model,seed,window_size,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,fold,thresh
ExtraTrees,0.0,60,0.493749283328907,-12.333333333333334,0.6666666666666666,0.8888888888888888,0.9999962944744129,0.7619047619047619,0.9444425916816508,1.333322222314814,0.3333305555787035,0.0009999939785711,3,
QUANT,0.0,60,10.32701933120657,-3.6666666666666665,0.5833333333333334,0.7777777777777778,0.999995368093016,0.6666666666666666,0.888886572935397,1.6666527778935176,0.666661111157407,0.0009999911994501,3,
ExtraTrees,0.0,60,0.4906945928157168,2.333333333333333,0.6666666666666666,0.8,0.9999966650269716,0.7272727272727273,0.8999983325134858,1.1999900000833328,0.5999950000416664,0.0009999930521974,4,
QUANT,0.0,60,11.145652767838396,-0.0619999999999999,0.9230769230769232,0.8,0.999999444171162,0.8571428571428571,0.899999722085581,0.1999983333472221,0.5999950000416664,0.0009999962945053,4,
ExtraTrees,0.0,60,0.489664745310871,-5.263783783783784,0.8378378378378378,0.8378378378378378,0.9999986406948768,0.8378378378378378,0.9189182392663572,0.4891038530514646,0.4891038530514646,0.0009999959221188,5,
QUANT,0.0,60,10.9549145657862,1.4272972972972973,0.7,0.7567567567567568,0.9999972813897536,0.7272727272727273,0.8783770190732552,0.9782077061029292,0.7336557795771969,0.0009999930902568,5,
MiniRocket,0.0,3,1.2608680448563307,2.409090909090909,0.8260869565217391,0.8636363636363636,0.999998484823232,0.8444444444444444,0.931817424229798,0.5454500000378785,0.4090875000284089,2.444426394918431,1,0.5
MiniRocket,0.0,3,1.1860592026595291,1.3826470588235291,0.8823529411764706,0.8823529411764706,0.999999019591503,0.8823529411764706,0.9411759803839868,0.3529382353186272,0.3529382353186272,3.777755555555556,2,0.5
MiniRocket,0.0,3,1.1942845621081095,1.3333333333333333,0.7272727272727273,0.8888888888888888,0.9999972221759252,0.8,0.944443055532407,0.9999916667361104,0.3333305555787035,0.99999167872575,3,0.5
MiniRocket,0.0,3,1.1974921041476942,0.4046666666666667,0.75,0.8,0.9999977777407402,0.7741935483870968,0.89999888887037,0.7999933333888885,0.5999950000416664,1.666648617140653,4,0.5
MiniRocket,0.0,3,1.2008813078049252,3.831081081081081,0.8235294117647058,0.7567567567567568,0.9999986413440368,0.7887323943661971,0.8783776990503969,0.4891038530514646,0.7336557795771969,4.089031000956388,5,0.5
MiniRocket,0.0,5,1.391138419340631,1.2727272727272727,0.7307692307692307,0.8636363636363636,0.9999973483964616,0.7916666666666666,0.9318168560164126,0.9545375000662872,0.4090875000284089,2.444381505597472,1,0.5
MiniRocket,0.0,5,1.248358217887349,0.9058823529411764,0.8823529411764706,0.8823529411764706,0.9999990195751624,0.8823529411764706,0.9411759803758164,0.3529382353186272,0.3529382353186272,3.777692592592592,2,0.5
MiniRocket,0.0,5,1.251628609189736,1.3333333333333333,0.5714285714285714,0.8888888888888888,0.9999944442592532,0.6956521739130435,0.9444416665740708,1.999983333472221,0.3333305555787035,0.9999708634783214,3,0.5
MiniRocket,0.0,5,1.381805348969097,2.6713333333333336,0.7058823529411765,0.8,0.9999972221296264,0.75,0.8999986110648133,0.9999916667361106,0.5999950000416664,1.6666194565024397,4,0.5
MiniRocket,0.0,5,1.2191210754785082,2.2043243243243245,0.7317073170731707,0.8108108108108109,0.9999975090889944,0.7692307692307693,0.9054041599499028,0.8966903972610184,0.5706211618933754,4.088963912302873,5,0.5
MiniRocket,0.0,7,1.4867813124546745,2.227272727272727,0.8181818181818182,0.8181818181818182,0.9999984847727236,0.8181818181818182,0.9090901514772708,0.5454500000378785,0.5454500000378785,2.4443407407407407,1,0.5
