model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,delay,g,fold,Dataset,model_type
QUANT,7,4.22608372015249,0.8461538461538461,1.0,0.6923076923076923,1.0,0.8181818181818181,0.0,0.9230692308333328,5.313076923076922,0.0009999952989494221,33,FARSEEING,ts
TS Ensemble,7,0.0008410119021741244,0.8461535256249992,0.9,0.6923076923076923,0.9999993589423061,0.7826086956521738,0.23076730771492107,0.9230692308333328,5.313076923076922,0.0009999945510550119,33,FARSEEING,ts
Rocket,7,7.204427500830539,0.8461519229807644,0.6,0.6923076923076923,0.9999961536538365,0.6428571428571429,1.3846038462495607,0.9230692308333328,5.923076923076923,0.0009999908115829613,34,FARSEEING,ts
Catch22,7,17.556116173825536,0.7307689102403838,0.86,0.46153846153846156,0.9999993589423061,0.6006984866123399,0.23076730771492107,1.6153711539583324,10.384615384615385,0.0009999910252670783,34,FARSEEING,ts
QUANT,7,4.106017429934206,0.9230762820192291,0.85,0.8461538461538461,0.9999987178846121,0.8480725623582767,0.46153461542984214,0.4615346154166664,2.1538461538461537,0.0009999961536858908,34,FARSEEING,ts
TS Ensemble,7,0.0009864635335711332,0.8846144230288437,0.77,0.7692307692307693,0.9999980768269182,0.7696151924037982,0.6923019231447631,0.6923019231249995,3.8461538461538463,0.0009999942305288362,34,FARSEEING,ts
Rocket,7,6.627825990152305,0.878377360227693,0.76,0.7567567567567568,0.9999979636986293,0.7583749109052031,0.7330255380041991,0.7330255380215142,2.518108108108108,0.0009999938911470277,35,FARSEEING,ts
Catch22,7,15.4353439019001,0.8648633942027637,0.68,0.7297297297297297,0.9999970586757977,0.7039877300613497,1.0588146660504716,0.8144728200239049,4.562162162162163,0.000999992420497238,35,FARSEEING,ts
QUANT,7,3.9140069139344567,0.9459454934345302,0.89,0.8918918918918919,0.9999990949771685,0.8909449416047324,0.3257891280063068,0.32578912800956195,1.1567567567567567,0.0009999972849542346,35,FARSEEING,ts
TS Ensemble,7,0.0007794918725267053,0.9027775462847216,0.94,0.8055555555555556,0.9999995370138878,0.867600254614895,0.16666527777412682,0.5833284722627311,2.615833333333333,0.0009999964890512415,35,FARSEEING,ts
