model,seed,window_size,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,fold
RandomForest,0.0,7,0.1506627296236697,1.3333333333333333,0.5333333333333333,0.8888888888888888,0.9999935181944283,0.6666666666666666,0.9444412035416585,2.3333138890509244,0.3333305555787035,0.0009999907403549222,3
ExtraTrees,0.0,7,0.14983489423375088,3.6666666666666665,0.5833333333333334,0.7777777777777778,0.9999953701388773,0.6666666666666666,0.8888865739583276,1.6666527778935176,0.666661111157407,0.000999991203337176,3
Rocket,0.0,7,8.040871325967734,-3.0,0.47368421052631576,1.0,0.9999907402777546,0.6428571428571429,0.9999953701388773,3.3333055557870352,0.0,0.0009999891970807425,3
Catch22,0.0,7,15.120029060490635,10.666666666666666,0.21052631578947367,0.4444444444444444,0.999986110416632,0.2857142857142857,0.7222152774305381,4.999958333680553,1.6666527778935176,0.0009999753076131257,3
QUANT,0.0,7,4.0498753658762645,1.3333333333333333,0.7272727272727273,0.8888888888888888,0.9999972220833264,0.8,0.9444430554861076,0.9999916667361105,0.3333305555787035,0.0009999950615226252,3
Ensemble-All,,7,0.0019136043265461922,-1.0,0.8181818181818182,1.0,0.9999981480555509,0.9,0.9999990740277754,0.666661111157407,0.0,0.0009999978394161487,3
Ensemble-tabular,,7,0.0034535384426514306,-1.0,0.8181818181818182,1.0,0.9999981480555509,0.9,0.9999990740277754,0.666661111157407,0.0,0.0009999978394161487,3
Ensemble-ts,,7,0.004766829001406829,0.2222222222222222,0.47058823529411764,0.8888888888888888,0.9999916662499791,0.6153846153846154,0.944440277569434,2.9999750002083316,0.3333305555787035,0.0009999885797710708,3
LogisticCV,0.0,7,0.11365292464047716,2.6666666666666665,0.7058823529411765,0.8,0.9999972220833264,0.75,0.8999986110416632,0.9999916667361106,0.5999950000416664,0.000999993703441347,4
RandomForest,0.0,7,0.14903156277137358,3.2046666666666668,0.631578947368421,0.8,0.999996110916657,0.7058823529411765,0.8999980554583284,1.399988333430555,0.5999950000416664,0.0009999924070910361,4
ExtraTrees,0.0,7,0.14969740733219314,6.0,0.5882352941176471,0.6666666666666666,0.999996110916657,0.625,0.8333313887916618,1.399988333430555,0.9999916667361106,0.000999990369969119,4
Rocket,0.0,7,7.745989914000405,-1.9953333333333334,0.46153846153846156,0.8,0.9999922218333139,0.5853658536585366,0.899996110916657,2.79997666686111,0.5999950000416664,0.0009999878698649482,4
Catch22,0.0,7,13.365807810900282,4.537999999999999,0.7692307692307693,0.6666666666666666,0.9999983332499959,0.7142857142857143,0.8333324999583313,0.5999950000416664,0.9999916667361106,0.000999992962669741,4
QUANT,0.0,7,4.134107418120013,2.938,0.8,0.8,0.9999983332499959,0.8,0.899999166624998,0.5999950000416664,0.5999950000416664,0.000999994999791658,4
Ensemble-All,,7,0.0028085814168055854,3.2046666666666668,0.75,0.8,0.9999977776666611,0.7741935483870968,0.8999988888333306,0.7999933333888885,0.5999950000416664,0.0009999943516165026,4
Ensemble-tabular,,7,0.005527762696146965,3.1333333333333333,0.6666666666666666,0.8,0.9999966664999916,0.7272727272727273,0.8999983332499959,1.1999900000833328,0.5999950000416664,0.0009999930552661916,4
Ensemble-ts,,7,0.006457259568075339,-4.062,0.5909090909090909,0.8666666666666667,0.9999949997499875,0.7027027027027027,0.9333308332083271,1.799985000124999,0.3999966666944442,0.0009999921293016838,4
LogisticCV,0.0,7,0.11654455314064723,5.72972972972973,0.6410256410256411,0.6756756756756757,0.9999968296965046,0.6578947368421053,0.8378362526860901,1.1412423237867508,0.9782077061029292,0.0009999913194798271,5
RandomForest,0.0,7,0.1993622622004338,2.2518918918918915,0.6666666666666666,0.7567567567567568,0.9999968296965046,0.7088607594936709,0.8783767932266306,1.1412423237867508,0.7336557795771969,0.000999992564945765,5
ExtraTrees,0.0,7,0.14817361140228424,4.243243243243243,0.78125,0.6756756756756757,0.9999984148482522,0.7246376811594203,0.8378370452619639,0.5706211618933754,0.9782077061029292,0.0009999931688080377,5
Rocket,0.0,7,7.957045917338216,-2.331081081081081,0.3614457831325301,0.8108108108108109,0.9999879981367673,0.5,0.9053994044737891,4.32041736862127,0.5706211618933754,0.0009999830918563588,5
Catch22,0.0,7,11.308885157780445,-0.7956756756756757,0.4583333333333333,0.8918918918918919,0.9999911684402628,0.6055045871559633,0.9459415301660774,3.17917504483452,0.32606923536764304,0.000999988035978718,5
QUANT,0.0,7,4.337823854824787,0.9494594594594595,0.775,0.8378378378378378,0.9999979619477529,0.8051948051948052,0.9189178998927954,0.7336557795771969,0.4891038530514646,0.0009999951313604248,5
Ensemble-All,,7,0.007289955237259467,1.5491891891891891,0.7142857142857143,0.8108108108108109,0.9999972825970039,0.759493670886076,0.9054040467039074,0.9782077061029292,0.5706211618933754,0.000999993923635879,5
Ensemble-tabular,,7,0.011519295163452625,4.675675675675675,0.75,0.7297297297297297,0.9999979619477529,0.7397260273972602,0.8648638458387413,0.7336557795771969,0.8151730884191076,0.0009999934707391742,5
Ensemble-ts,,7,0.018554432317614555,-1.7364864864864864,0.47692307692307695,0.8378378378378378,0.9999923006915111,0.6078431372549019,0.9189150692646745,2.771588500624966,0.4891038530514646,0.0009999885266168147,5
LogisticCV,0.0,10,0.4796999634969898,2.3181818181818183,0.85,0.7727272727272727,0.99999886355113,0.8095238095238095,0.8863630681392014,0.4090875000284089,0.6818125000473482,0.0009999952017003154,1
