model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,delay,g
QUANT,43,9.965916871855658,0.9545454545454546,1.0,0.9090909090909091,1.0,0.9523809523809523,0.0,0.27272500001893935,28.16121212121212,0.0009999986106364119
QUANT,44,10.193151725973573,0.9545454545454546,1.0,0.9090909090909091,1.0,0.9523809523809523,0.0,0.27272500001893935,27.22181818181818,0.0009999986106248298
QUANT,45,10.412155247242447,0.9545454545454546,1.0,0.9090909090909091,1.0,0.9523809523809523,0.0,0.27272500001893935,27.28242424242424,0.0009999986106132475
QUANT,46,9.79567153051638,0.9393939393939394,1.0,0.8787878787878788,1.0,0.9354838709677419,0.0,0.36363333335858566,46.67636363636363,0.0009999981474688867
QUANT,47,9.994352024096901,0.9393939393939394,1.0,0.8787878787878788,1.0,0.9354838709677419,0.0,0.36363333335858566,45.85818181818182,0.000999998147453443
QUANT,48,10.21610528339693,0.9393939393939394,1.0,0.8787878787878788,1.0,0.9354838709677419,0.0,0.36363333335858566,46.6460606060606,0.0009999981474379993
QUANT,49,10.556021779449038,0.9393939393939394,1.0,0.8787878787878788,1.0,0.9354838709677419,0.0,0.36363333335858566,45.79757575757576,0.0009999981474225553
QUANT,50,10.57290167418364,0.9545454545454546,1.0,0.9090909090909091,1.0,0.9523809523809523,0.0,0.27272500001893935,38.130909090909086,0.0009999986105553333
QUANT,51,10.845252894783819,0.9545454545454546,1.0,0.9090909090909091,1.0,0.9523809523809523,0.0,0.27272500001893935,40.85818181818182,0.0009999986105437499
QUANT,52,10.707758046006354,0.9545454545454546,1.0,0.9090909090909091,1.0,0.9523809523809523,0.0,0.27272500001893935,40.88848484848484,0.0009999986105321663
QUANT,53,10.838511665636632,0.9545454545454546,1.0,0.9090909090909091,1.0,0.9523809523809523,0.0,0.27272500001893935,40.918787878787874,0.0009999986105205824
QUANT,54,11.005305926802416,0.9545454545454546,1.0,0.9090909090909091,1.0,0.9523809523809523,0.0,0.27272500001893935,40.85818181818182,0.0009999986105089984
QUANT,55,10.431081551060927,0.9545454545454546,1.0,0.9090909090909091,1.0,0.9523809523809523,0.0,0.27272500001893935,40.82787878787879,0.0009999986104974141
QUANT,56,10.576309044648546,0.9545454545454546,1.0,0.9090909090909091,1.0,0.9523809523809523,0.0,0.27272500001893935,40.767272727272726,0.0009999986104858296
QUANT,57,10.700325408741508,0.9545454545454546,1.0,0.9090909090909091,1.0,0.9523809523809523,0.0,0.27272500001893935,40.79757575757576,0.0009999986104742451
QUANT,58,10.872110523906034,0.9393939393939394,1.0,0.8787878787878788,1.0,0.9354838709677419,0.0,0.36363333335858566,49.6460606060606,0.0009999981472835471
QUANT,59,11.205826201753494,0.9545454545454546,1.0,0.9090909090909091,1.0,0.9523809523809523,0.0,0.27272500001893935,41.04,0.0009999986104510753
QUANT,60,11.07150428045851,0.9545454545454546,1.0,0.9090909090909091,1.0,0.9523809523809523,0.0,0.27272500001893935,22.555151515151515,0.0009999986104394902
